"","Order","Species","FSp","FUn","FUSE","ED2","EDGE"
"1","Carcharhiniformes",259,0.200427388159124,4.82325218374378e-05,0.000545992188639211,14.6102333863117,0.0501536309966879
"2","Heterodontiformes",9,0.0425549767157319,2.73887853733876e-05,7.44671452304342e-05,15.9874391113874,0.0279595369653152
"3","Hexanchiformes",6,0.229700786919086,0.000318803049468156,0.00259843697528548,30.6242258025322,0.268383729458978
"4","Lamniformes",15,0.585789283913592,0.239078271922392,0.10103947734745,41.9004553298949,4.03796475587762
"5","Myliobatiformes",170,0.333610415004614,0.000397241001817162,0.0158606942603644,20.1543520992903,1.75752087779746
"6","Orectolobiformes",41,0.0665021933767671,3.59872582148509e-05,0.000617725220916092,15.8435826197079,0.165611202649505
"7","Pristiophoriformes",7,0.137602729749096,2.99876553476295e-05,0.000253878301036926,23.9388457480943,0.0418653067534802
"8","Rajiformes",261,0.193224930890289,2.96236577771414e-05,0.000355733909904065,10.5043608527701,0.0220041821040105
"9","Rhinopristiformes",56,0.236097124698396,9.53566694306138e-05,0.0440905139452042,33.179498326188,26.0531874616676
"10","Squaliformes",116,0.267907490568252,0.000368640255210856,0.000617207943973236,13.4822968432648,0.0378086006602742
"11","Squatiniformes",18,0.00280867346591501,6.4459804041112e-05,0.0018188266242912,29.3692922930898,17.8348217385579
"12","Torpediniformes",57,0.253126278711044,8.73401323677452e-05,0.00468865146753256,17.4529807646085,0.999305612686101
